Year,Female,Male,Total,Countries
1873,40.55,38.03,39.27,Netherlands
1874,42.54,40.11,41.3,Netherlands
1875,39.49,37.25,38.34,Netherlands
1876,41.75,39.23,40.46,Netherlands
1877,43.43,40.79,42.08,Netherlands
1878,42.36,39.88,41.09,Netherlands
1879,43.17,40.84,41.98,Netherlands
1880,41.87,39.03,40.41,Netherlands
1881,44.2,41.63,42.89,Netherlands
1882,45.25,42.42,43.8,Netherlands
1883,43.66,41.12,42.36,Netherlands
1884,42.59,40.15,41.34,Netherlands
1885,44.47,42.14,43.28,Netherlands
1886,43.58,40.46,41.98,Netherlands
1887,46.51,43.52,44.98,Netherlands
1888,45.68,42.84,44.23,Netherlands
1889,45.66,43.13,44.37,Netherlands
1890,45.76,43.13,44.42,Netherlands
1891,45.68,42.93,44.27,Netherlands
1892,45.29,42.68,43.95,Netherlands
1893,47.26,44.52,45.86,Netherlands
1894,48.44,45.6,46.99,Netherlands
1895,48.26,45.26,46.73,Netherlands
1896,49.9,47.25,48.56,Netherlands
1897,51.13,47.81,49.43,Netherlands
1898,50.61,47.66,49.11,Netherlands
1899,50.77,48,49.36,Netherlands
1900,49.9,47.12,48.48,Netherlands
1901,50.37,47.21,48.75,Netherlands
1902,51.99,49.35,50.65,Netherlands
1903,53.09,50.05,51.54,Netherlands
1904,52.19,49.59,50.87,Netherlands
1905,53.5,50.76,52.1,Netherlands
1906,53.85,51.73,52.78,Netherlands
1907,54.74,52.31,53.51,Netherlands
1908,54,51.59,52.77,Netherlands
1909,56.14,53.75,54.92,Netherlands
1910,56.25,54.07,55.14,Netherlands
1911,54.31,52.08,53.18,Netherlands
1912,58.15,56.16,57.14,Netherlands
1913,58.44,56.3,57.35,Netherlands
1914,58.31,56.1,57.19,Netherlands
1915,58.2,56.3,57.24,Netherlands
1916,57.17,55.19,56.16,Netherlands
1917,56.7,54.64,55.65,Netherlands
1918,48.65,46.64,47.63,Netherlands
1919,55.63,53.97,54.78,Netherlands
1920,58.92,57.09,57.98,Netherlands
1921,60.55,58.91,59.71,Netherlands
1922,60.47,59.14,59.78,Netherlands
1923,62.77,61.26,62,Netherlands
1924,63.54,62.25,62.88,Netherlands
1925,63.92,62.35,63.12,Netherlands
1926,63.69,62.3,62.98,Netherlands
1927,63.36,61.9,62.61,Netherlands
1928,64.5,62.94,63.71,Netherlands
1929,62.89,61.44,62.15,Netherlands
1930,65.4,63.95,64.66,Netherlands
1931,65.01,63.67,64.32,Netherlands
1932,66.06,64.75,65.39,Netherlands
1933,66.69,65.4,66.03,Netherlands
1934,67.34,65.88,66.6,Netherlands
1935,67.25,65.8,66.51,Netherlands
1936,67.41,66.08,66.73,Netherlands
1937,67.72,66.23,66.97,Netherlands
1938,68.26,66.55,67.39,Netherlands
1939,68.55,66.92,67.72,Netherlands
1940,67.29,63.59,65.4,Netherlands
1941,66.9,63.82,65.33,Netherlands
1942,67.62,64.07,65.8,Netherlands
1943,66.2,62.69,64.41,Netherlands
1944,63.6,59.07,61.27,Netherlands
1945,61.19,50.78,55.58,Netherlands
1946,68.87,66.24,67.53,Netherlands
1947,70.84,68.3,69.56,Netherlands
1948,72.39,69.72,71.04,Netherlands
1949,71.58,69.02,70.29,Netherlands
1950,72.59,70.31,71.44,Netherlands
1951,72.76,70.26,71.5,Netherlands
1952,73.29,70.96,72.12,Netherlands
1953,72.99,70.43,71.7,Netherlands
1954,73.83,70.96,72.38,Netherlands
1955,74.09,70.94,72.5,Netherlands
1956,74.11,70.97,72.52,Netherlands
1957,74.58,71.38,72.97,Netherlands
1958,74.84,71.46,73.14,Netherlands
1959,75.17,71.25,73.19,Netherlands
1960,75.3,71.45,73.35,Netherlands
1961,75.73,71.43,73.55,Netherlands
1962,75.57,70.96,73.22,Netherlands
1963,75.78,71.01,73.35,Netherlands
1964,76.27,71.28,73.73,Netherlands
1965,76.16,71.14,73.6,Netherlands
1966,76.14,71.05,73.55,Netherlands
1967,76.58,71.18,73.83,Netherlands
1968,76.44,70.93,73.64,Netherlands
1969,76.29,70.92,73.56,Netherlands
1970,76.52,70.83,73.63,Netherlands
1971,76.81,71.03,73.87,Netherlands
1972,76.82,70.84,73.78,Netherlands
1973,77.18,71.35,74.23,Netherlands
1974,77.65,71.63,74.61,Netherlands
1975,77.73,71.47,74.55,Netherlands
1976,77.9,71.53,74.67,Netherlands
1977,78.5,72.08,75.26,Netherlands
1978,78.47,71.94,75.17,Netherlands
1979,78.88,72.43,75.65,Netherlands
1980,79.14,72.44,75.77,Netherlands
1981,79.28,72.7,75.99,Netherlands
1982,79.39,72.73,76.06,Netherlands
1983,79.56,72.93,76.26,Netherlands
1984,79.67,72.96,76.32,Netherlands
1985,79.64,73.06,76.37,Netherlands
1986,79.58,73.07,76.35,Netherlands
1987,80.04,73.5,76.81,Netherlands
1988,80.22,73.68,77,Netherlands
1989,79.91,73.66,76.83,Netherlands
1990,80.09,73.82,77.01,Netherlands
1991,80.14,74.05,77.16,Netherlands
1992,80.28,74.3,77.36,Netherlands
1993,79.99,73.98,77.04,Netherlands
1994,80.3,74.58,77.51,Netherlands
1995,80.36,74.6,77.54,Netherlands
1996,80.32,74.65,77.55,Netherlands
1997,80.53,75.16,77.93,Netherlands
1998,80.67,75.18,78,Netherlands
1999,80.44,75.33,77.96,Netherlands
2000,80.56,75.53,78.12,Netherlands
2001,80.7,75.8,78.33,Netherlands
2002,80.67,75.99,78.41,Netherlands
2003,80.92,76.24,78.66,Netherlands
2004,81.43,76.87,79.23,Netherlands
2005,81.59,77.2,79.48,Netherlands
2006,81.88,77.63,79.84,Netherlands
2007,82.3,78.01,80.25,Netherlands
2008,82.27,78.32,80.38,Netherlands
2009,82.64,78.54,80.67,Netherlands
2010,82.72,78.78,80.82,Netherlands
2011,82.85,79.2,81.1,Netherlands
2012,82.82,79.15,81.05,Netherlands
2013,83.04,79.42,81.29,Netherlands
2014,83.29,79.87,81.65,Netherlands
2015,83.13,79.74,81.48,Netherlands
2016,83.13,79.88,81.55,Netherlands
2017,83.32,80.07,81.73,Netherlands
2018,83.33,80.16,81.77,Netherlands
2019,83.56,80.46,82.05,Netherlands
2020,83.08,79.68,81.39,Netherlands
1948,70.83,66.97,68.81,New Zealand
1949,70.74,67.27,68.95,New Zealand
1950,71.24,67.41,69.25,New Zealand
1951,71.44,66.98,69.13,New Zealand
1952,71.49,67.39,69.37,New Zealand
1953,72.7,67.92,70.21,New Zealand
1954,72.85,68,70.33,New Zealand
1955,72.99,68.13,70.48,New Zealand
1956,73.28,68.37,70.72,New Zealand
1957,73.02,67.71,70.25,New Zealand
1958,73.48,68.44,70.88,New Zealand
1959,73.39,68.33,70.77,New Zealand
1960,73.95,68.67,71.22,New Zealand
1961,73.67,68.37,70.93,New Zealand
1962,74.12,68.48,71.2,New Zealand
1963,74.23,68.52,71.27,New Zealand
1964,74.31,68.49,71.29,New Zealand
1965,74.31,68.33,71.21,New Zealand
1966,74.32,68.07,71.07,New Zealand
1967,74.67,68.41,71.44,New Zealand
1968,74.29,68.12,71.09,New Zealand
1969,74.75,68.41,71.48,New Zealand
1970,74.49,68.16,71.22,New Zealand
1971,74.99,68.66,71.72,New Zealand
1972,74.75,69.02,71.82,New Zealand
1973,75.14,68.44,71.68,New Zealand
1974,75.13,68.91,71.94,New Zealand
1975,75.55,69.03,72.2,New Zealand
1976,75.67,69.3,72.4,New Zealand
1977,75.58,68.89,72.14,New Zealand
1978,76.43,69.76,73.01,New Zealand
1979,76.48,69.81,73.05,New Zealand
1980,75.79,70.04,72.87,New Zealand
1981,76.9,70.5,73.64,New Zealand
1982,76.88,70.67,73.73,New Zealand
1983,76.94,70.81,73.83,New Zealand
1984,77.67,71.16,74.37,New Zealand
1985,76.84,70.98,73.87,New Zealand
1986,77.36,70.97,74.12,New Zealand
1987,77.15,71.31,74.21,New Zealand
1988,77.6,71.42,74.48,New Zealand
1989,77.99,71.82,74.89,New Zealand
1990,78.36,72.48,75.43,New Zealand
1991,78.85,73.26,76.08,New Zealand
1992,79.3,73.11,76.19,New Zealand
1993,79.18,73.76,76.5,New Zealand
1994,79.65,74.14,76.92,New Zealand
1995,79.47,74.06,76.79,New Zealand
1996,79.34,74.22,76.81,New Zealand
1997,80.06,74.6,77.35,New Zealand
1998,80.79,75.46,78.17,New Zealand
1999,80.37,75.38,77.91,New Zealand
2000,81.2,76.04,78.67,New Zealand
2001,80.99,76.25,78.67,New Zealand
2002,81.07,76.56,78.87,New Zealand
2003,81.35,76.85,79.15,New Zealand
2004,81.36,77.24,79.36,New Zealand
2005,82.11,77.85,80.04,New Zealand
2006,82.02,77.91,80.02,New Zealand
2007,82.16,77.99,80.12,New Zealand
2008,82.23,78.18,80.25,New Zealand
2009,82.48,78.53,80.55,New Zealand
2010,82.93,79.09,81.06,New Zealand
2011,82.59,79.03,80.85,New Zealand
2012,83.02,79.25,81.17,New Zealand
2013,83.4,79.74,81.6,New Zealand
2014,83.21,79.57,81.42,New Zealand
2015,83.22,79.91,81.59,New Zealand
2016,83.74,80.22,82,New Zealand
2017,83.3,79.89,81.61,New Zealand
2018,83.62,80.15,81.9,New Zealand
2019,83.65,80,81.83,New Zealand
2020,84.46,80.85,82.67,New Zealand
2021,84.02,80.56,82.3,New Zealand
1846,49.67,46.44,48.05,Norway
1847,46.08,43.47,44.77,Norway
1848,46.7,43.36,45.01,Norway
1849,49.82,46.31,48.04,Norway
1850,51.28,47.78,49.52,Norway
1851,51.49,47.97,49.72,Norway
1852,49.94,46.98,48.47,Norway
1853,49.33,46.48,47.91,Norway
1854,53.3,49.92,51.62,Norway
1855,52.26,48.59,50.43,Norway
1856,51.84,48.84,50.35,Norway
1857,51.6,48.81,50.21,Norway
1858,53.09,50.04,51.57,Norway
1859,51.28,48.56,49.92,Norway
1860,51.3,48.67,49.99,Norway
1861,46.94,44.67,45.81,Norway
1862,45.8,43.61,44.71,Norway
1863,48.16,45.27,46.71,Norway
1864,49.95,47.62,48.78,Norway
1865,51.85,48.98,50.42,Norway
1866,51.47,48.35,49.91,Norway
1867,49.55,46.22,47.87,Norway
1868,48.95,45.42,47.18,Norway
1869,50.99,47.54,49.26,Norway
1870,52.55,49.18,50.86,Norway
1871,51.4,47.96,49.67,Norway
1872,51.57,48.47,50.02,Norway
1873,51.16,48.19,49.68,Norway
1874,49.23,46.3,47.77,Norway
1875,49.17,46.1,47.63,Norway
1876,48.31,45.33,46.82,Norway
1877,51.2,48.3,49.75,Norway
1878,53.18,50.4,51.78,Norway
1879,54.36,51.93,53.14,Norway
1880,53.27,50.5,51.89,Norway
1881,51.85,49.03,50.44,Norway
1882,48.49,46.26,47.38,Norway
1883,50.7,48.49,49.59,Norway
1884,52,49.52,50.76,Norway
1885,52.3,49.76,51.04,Norway
1886,52.88,50.48,51.7,Norway
1887,52.76,50.56,51.67,Norway
1888,51.64,49.06,50.37,Norway
1889,50.43,47.65,49.07,Norway
1890,50.03,47.13,48.61,Norway
1891,51.42,48.13,49.8,Norway
1892,51.45,47.86,49.67,Norway
1893,53.26,49.48,51.39,Norway
1894,52.41,48.79,50.62,Norway
1895,54.4,51.15,52.79,Norway
1896,55.88,51.76,53.82,Norway
1897,55.64,51.76,53.71,Norway
1898,55.76,52.12,53.95,Norway
1899,53.42,49.8,51.61,Norway
1900,55.14,51.77,53.47,Norway
1901,56.43,52.72,54.59,Norway
1902,57.98,54.93,56.47,Norway
1903,56.45,53.44,54.96,Norway
1904,57.33,54.78,56.07,Norway
1905,56.17,53.94,55.09,Norway
1906,58.11,55.63,56.9,Norway
1907,57.86,55.05,56.48,Norway
1908,57.56,54.96,56.28,Norway
1909,58.86,55.98,57.46,Norway
1910,59.5,56.39,57.98,Norway
1911,59.63,56.35,58.01,Norway
1912,59.22,56.18,57.73,Norway
1913,60.02,56.54,58.31,Norway
1914,59.45,56.1,57.79,Norway
1915,59.81,56.45,58.16,Norway
1916,59.09,55.34,57.23,Norway
1917,59.32,56.09,57.71,Norway
1918,52.06,48.55,50.32,Norway
1919,58.09,55.47,56.79,Norway
1920,60.17,57.52,58.85,Norway
1921,62.87,60.23,61.57,Norway
1922,61.91,59.62,60.78,Norway
1923,62.99,60.56,61.8,Norway
1924,63.27,60.89,62.11,Norway
1925,63.96,61.02,62.51,Norway
1926,64.51,61.94,63.25,Norway
1927,64.4,61.27,62.85,Norway
1928,64.68,62.07,63.4,Norway
1929,63.89,60.99,62.45,Norway
1930,65.6,62.56,64.1,Norway
1931,65.55,62.78,64.18,Norway
1932,65.89,63.26,64.59,Norway
1933,66.91,64.03,65.48,Norway
1934,67.69,64.69,66.21,Norway
1935,67.3,64.37,65.84,Norway
1936,67.36,64.25,65.82,Norway
1937,67.65,64.37,66.02,Norway
1938,68.98,65.2,67.09,Norway
1939,69.04,65.64,67.35,Norway
1940,68.63,63.24,65.88,Norway
1941,68.24,63.3,65.74,Norway
1942,68.63,62.88,65.7,Norway
1943,69.03,63.26,66.09,Norway
1944,68.71,63.09,65.84,Norway
1945,70.45,65.97,68.19,Norway
1946,71.3,67.79,69.54,Norway
1947,71.67,68.35,70.01,Norway
1948,72.86,69.39,71.13,Norway
1949,73.07,69.98,71.52,Norway
1950,73.25,69.92,71.59,Norway
1951,74.29,70.76,72.53,Norway
1952,74.3,70.99,72.65,Norway
1953,75.07,71.24,73.15,Norway
1954,75.09,71.33,73.21,Norway
1955,75.34,71.53,73.43,Norway
1956,75.53,71.46,73.49,Norway
1957,75.53,71.37,73.43,Norway
1958,75.53,71.36,73.43,Norway
1959,75.79,71.36,73.55,Norway
1960,75.86,71.33,73.56,Norway
1961,76.05,71.16,73.56,Norway
1962,76.05,70.96,73.46,Norway
1963,75.49,70.78,73.1,Norway
1964,76.07,71.22,73.61,Norway
1965,76.53,71.05,73.73,Norway
1966,76.71,71.41,74.01,Norway
1967,76.94,71.33,74.07,Norway
1968,76.79,71.22,73.95,Norway
1969,76.67,70.81,73.67,Norway
1970,77.32,71,74.07,Norway
1971,77.36,71.15,74.17,Norway
1972,77.51,71.34,74.35,Norway
1973,77.71,71.33,74.44,Norway
1974,77.97,71.7,74.76,Norway
1975,78.06,71.72,74.82,Norway
1976,78.2,72.02,75.05,Norway
1977,78.67,72.26,75.4,Norway
1978,78.62,72.36,75.43,Norway
1979,78.82,72.17,75.42,Norway
1980,79.17,72.34,75.67,Norway
1981,79.27,72.64,75.88,Norway
1982,79.54,72.65,76.02,Norway
1983,79.56,72.74,76.08,Norway
1984,79.61,73.01,76.25,Norway
1985,79.41,72.59,75.93,Norway
1986,79.75,72.89,76.25,Norway
1987,79.58,72.76,76.1,Norway
1988,79.57,73.06,76.27,Norway
1989,79.84,73.33,76.54,Norway
1990,79.8,73.45,76.59,Norway
1991,80.09,74.02,77.04,Norway
1992,80.35,74.17,77.24,Norway
1993,80.24,74.24,77.22,Norway
1994,80.65,74.89,77.78,Norway
1995,80.81,74.8,77.8,Norway
1996,81.06,75.37,78.23,Norway
1997,80.97,75.46,78.24,Norway
1998,81.26,75.53,78.41,Norway
1999,81.12,75.61,78.39,Norway
2000,81.37,75.95,78.69,Norway
2001,81.52,76.21,78.89,Norway
2002,81.46,76.4,78.96,Norway
2003,81.93,77.04,79.53,Norway
2004,82.33,77.5,79.97,Norway
2005,82.51,77.72,80.17,Norway
2006,82.66,78.12,80.44,Norway
2007,82.67,78.24,80.5,Norway
2008,82.96,78.32,80.68,Norway
2009,83.06,78.59,80.86,Norway
2010,83.15,78.85,81.04,Norway
2011,83.44,79,81.25,Norway
2012,83.42,79.42,81.45,Norway
2013,83.61,79.66,81.66,Norway
2014,84.1,80.03,82.09,Norway
2015,84.14,80.36,82.28,Norway
2016,84.17,80.61,82.42,Norway
2017,84.28,80.92,82.63,Norway
2018,84.5,81.01,82.77,Norway
2019,84.7,81.18,82.96,Norway
2020,84.9,81.48,83.2,Norway
2021,84.73,81.59,83.17,Norway
2022,84.36,80.92,82.64,Norway
1958,68.62,63.02,65.92,Poland
1959,68.32,62.61,65.56,Poland
1960,70.63,64.81,67.83,Poland
1961,70.81,64.86,67.94,Poland
1962,70.53,64.55,67.63,Poland
1963,71.52,65.4,68.56,Poland
1964,71.61,65.75,68.78,Poland
1965,72.36,66.4,69.48,Poland
1966,72.86,66.72,69.89,Poland
1967,72.67,66.34,69.59,Poland
1968,73.39,66.89,70.23,Poland
1969,72.97,66.31,69.71,Poland
1970,72.87,66.17,69.59,Poland
1971,72.9,65.75,69.37,Poland
1972,73.93,67.02,70.55,Poland
1973,74.06,66.88,70.53,Poland
1974,74.4,67.5,71.02,Poland
1975,74.06,66.74,70.44,Poland
1976,74.28,66.55,70.44,Poland
1977,74.34,66.31,70.33,Poland
1978,74.35,66.12,70.22,Poland
1979,74.69,66.48,70.59,Poland
1980,74.21,65.76,69.95,Poland
1981,75,66.83,70.92,Poland
1982,74.97,66.98,70.98,Poland
1983,74.91,66.78,70.84,Poland
1984,74.7,66.56,70.61,Poland
1985,74.54,66.27,70.37,Poland
1986,74.84,66.48,70.62,Poland
1987,74.89,66.53,70.68,Poland
1988,75.3,66.81,71.01,Poland
1989,75.2,66.46,70.77,Poland
1990,75.28,66.25,70.68,Poland
1991,75.11,65.87,70.38,Poland
1992,75.53,66.45,70.91,Poland
1993,75.83,67.12,71.42,Poland
1994,76.08,67.43,71.71,Poland
1995,76.39,67.55,71.92,Poland
1996,76.56,68,72.25,Poland
1997,76.95,68.3,72.6,Poland
1998,77.29,68.66,72.95,Poland
1999,77.43,68.63,72.99,Poland
2000,77.93,69.52,73.73,Poland
2001,78.36,70.05,74.22,Poland
2002,78.77,70.37,74.58,Poland
2003,78.89,70.57,74.74,Poland
2004,79.23,70.71,74.98,Poland
2005,79.34,70.84,75.09,Poland
2006,79.58,71,75.29,Poland
2007,79.67,71.03,75.34,Poland
2008,79.86,71.32,75.58,Poland
2009,79.95,71.6,75.78,Poland
2010,80.46,72.15,76.32,Poland
2011,80.75,72.51,76.65,Poland
2012,80.77,72.62,76.72,Poland
2013,80.92,72.98,76.97,Poland
2014,81.4,73.66,77.58,Poland
2015,81.31,73.47,77.42,Poland
2016,81.72,73.83,77.8,Poland
2017,81.54,73.85,77.72,Poland
2018,81.48,73.75,77.63,Poland
2019,81.74,74.09,77.93,Poland
1940,53.59,49.08,51.38,Portugal
1941,49.96,45.93,47.99,Portugal
1942,51.82,47.65,49.78,Portugal
1943,53.36,48.79,51.13,Portugal
1944,55.05,49.66,52.38,Portugal
1945,56.39,51.08,53.78,Portugal
1946,56.31,51.11,53.75,Portugal
1947,58.36,53.37,55.93,Portugal
1948,59.26,54.04,56.72,Portugal
1949,57.92,52.78,55.41,Portugal
1950,61.02,55.78,58.47,Portugal
1951,61.3,56.06,58.75,Portugal
1952,62.18,57.16,59.76,Portugal
1953,63.62,58.37,61.07,Portugal
1954,64.78,59.45,62.2,Portugal
1955,63.93,58.72,61.4,Portugal
1956,63.74,58.46,61.17,Portugal
1957,64,58.63,61.39,Portugal
1958,66.4,60.87,63.72,Portugal
1959,65.68,60.01,62.92,Portugal
1960,66.88,61.27,64.15,Portugal
1961,65.5,59.97,62.8,Portugal
1962,67.22,61.28,64.32,Portugal
1963,67.81,61.9,64.92,Portugal
1964,67.99,62.12,65.12,Portugal
1965,69.13,62.94,66.09,Portugal
1966,68.76,62.37,65.6,Portugal
1967,69.63,63.2,66.46,Portugal
1968,69.88,63.63,66.81,Portugal
1969,69.57,63.14,66.39,Portugal
1970,70.11,63.88,67.06,Portugal
1971,70.12,63.49,66.85,Portugal
1972,72.27,65.92,69.16,Portugal
1973,71.63,65.44,68.6,Portugal
1974,72.36,65.79,69.12,Portugal
1975,72.53,65.13,68.84,Portugal
1976,72.71,65.48,69.1,Portugal
1977,73.93,66.72,70.34,Portugal
1978,74.18,67.34,70.79,Portugal
1979,74.94,68.18,71.6,Portugal
1980,75.17,68.11,71.66,Portugal
1981,75.42,68.31,71.89,Portugal
1982,76.18,69.14,72.7,Portugal
1983,76.08,69.16,72.65,Portugal
1984,76.46,69.37,72.93,Portugal
1985,76.75,69.64,73.21,Portugal
1986,77.07,70.15,73.64,Portugal
1987,77.48,70.58,74.06,Portugal
1988,77.63,70.49,74.08,Portugal
1989,78.17,71.1,74.66,Portugal
1990,77.8,70.77,74.3,Portugal
1991,77.9,70.58,74.24,Portugal
1992,78.59,71.14,74.87,Portugal
1993,78.41,71.11,74.76,Portugal
1994,79.25,72.15,75.73,Portugal
1995,79.22,71.86,75.55,Portugal
1996,79.23,71.73,75.48,Portugal
1997,79.52,72.29,75.92,Portugal
1998,79.75,72.47,76.12,Portugal
1999,79.89,72.73,76.32,Portugal
2000,80.35,73.27,76.83,Portugal
2001,80.68,73.59,77.15,Portugal
2002,80.82,73.87,77.37,Portugal
2003,80.86,74.23,77.59,Portugal
2004,81.8,74.96,78.43,Portugal
2005,81.64,74.91,78.32,Portugal
2006,82.56,75.52,79.09,Portugal
2007,82.55,75.94,79.31,Portugal
2008,82.77,76.29,79.6,Portugal
2009,82.93,76.58,79.83,Portugal
2010,83.21,76.85,80.11,Portugal
2011,83.69,77.31,80.59,Portugal
2012,83.57,77.38,80.57,Portugal
2013,83.99,77.65,80.91,Portugal
2014,84.36,78.07,81.32,Portugal
2015,84.27,78.17,81.32,Portugal
2016,84.32,78.18,81.34,Portugal
2017,84.54,78.5,81.63,Portugal
2018,84.48,78.38,81.53,Portugal
2019,84.73,78.73,81.84,Portugal
2020,84.14,78.04,81.18,Portugal
2021,84.21,78.2,81.28,Portugal
2003,80.7,73.75,77.34,Republic of Korea
2004,81.2,74.27,77.84,Republic of Korea
2005,81.55,74.86,78.34,Republic of Korea
2006,82.11,75.43,78.9,Republic of Korea
2007,82.41,75.84,79.27,Republic of Korea
2008,83.01,76.3,79.8,Republic of Korea
2009,83.43,76.74,80.23,Republic of Korea
2010,83.66,76.87,80.4,Republic of Korea
2011,84.05,77.35,80.84,Republic of Korea
2012,84.17,77.59,81.01,Republic of Korea
2013,84.61,78.17,81.53,Republic of Korea
2014,85.02,78.65,81.97,Republic of Korea
2015,85.18,78.97,82.21,Republic of Korea
2016,85.44,79.34,82.52,Republic of Korea
2017,85.76,79.73,82.87,Republic of Korea
2018,85.77,79.81,82.9,Republic of Korea
2019,86.31,80.34,83.44,Republic of Korea
2020,86.47,80.56,83.63,Republic of Korea
1959,71.16,62.85,67.69,Russia
1960,72.31,63.67,68.7,Russia
1961,72.62,63.9,68.96,Russia
1962,72.27,63.68,68.64,Russia
1963,72.78,64.13,69.13,Russia
1964,73.58,64.89,69.92,Russia
1965,73.31,64.36,69.5,Russia
1966,73.55,64.28,69.57,Russia
1967,73.43,64.02,69.35,Russia
1968,73.55,63.72,69.25,Russia
1969,73.29,63.07,68.76,Russia
1970,73.44,63.07,68.83,Russia
1971,73.77,63.24,69.07,Russia
1972,73.62,63.24,68.98,Russia
1973,73.56,63.28,68.96,Russia
1974,73.77,63.13,68.96,Russia
1975,73.22,62.48,68.32,Russia
1976,73.05,62.19,68.06,Russia
1977,73.19,61.82,67.9,Russia
1978,73.23,61.83,67.91,Russia
1979,73.02,61.49,67.58,Russia
1980,72.96,61.39,67.48,Russia
1981,73.18,61.62,67.69,Russia
1982,73.63,62.24,68.24,Russia
1983,73.42,62.16,68.07,Russia
1984,72.96,61.71,67.56,Russia
1985,73.24,62.73,68.26,Russia
1986,74.2,64.76,69.85,Russia
1987,74.27,64.84,69.9,Russia
1988,74.25,64.62,69.73,Russia
1989,74.49,64.2,69.59,Russia
1990,74.31,63.76,69.22,Russia
1991,74.23,63.41,68.96,Russia
1992,73.7,61.96,67.84,Russia
1993,71.84,58.79,65.06,Russia
1994,71.06,57.38,63.81,Russia
1995,71.6,58.12,64.51,Russia
1996,72.4,59.6,65.78,Russia
1997,72.84,60.84,66.72,Russia
1998,73.12,61.19,67.04,Russia
1999,72.42,59.87,65.92,Russia
2000,72.23,58.98,65.29,Russia
2001,72.16,58.89,65.19,Russia
2002,71.88,58.64,64.91,Russia
2003,71.87,58.54,64.85,Russia
2004,72.33,58.89,65.27,Russia
2005,72.45,58.91,65.34,Russia
2006,73.29,60.4,66.64,Russia
2007,73.96,61.42,67.55,Russia
2008,74.25,61.89,67.96,Russia
2009,74.78,62.85,68.76,Russia
2010,74.87,63.06,68.92,Russia
2011,75.6,64.01,69.81,Russia
2012,75.84,64.53,70.22,Russia
2013,76.29,65.1,70.75,Russia
2014,76.48,65.26,70.92,Russia
1950,62.47,59.02,60.77,Slovakia
1951,63.22,59.04,61.14,Slovakia
1952,66.24,62.31,64.29,Slovakia
1953,67.49,63.74,65.64,Slovakia
1954,68.37,64.94,66.68,Slovakia
1955,69.81,65.82,67.84,Slovakia
1956,70.41,66.28,68.37,Slovakia
1957,69.5,65.38,67.46,Slovakia
1958,71.51,67.16,69.36,Slovakia
1959,71.28,66.72,69.01,Slovakia
1960,72.53,68.12,70.34,Slovakia
1961,73.02,68.54,70.79,Slovakia
1962,72.66,68,70.33,Slovakia
1963,73.2,68.19,70.69,Slovakia
1964,73.48,68.68,71.08,Slovakia
1965,72.79,67.81,70.28,Slovakia
1966,73.17,67.72,70.42,Slovakia
1967,73.76,68.23,70.97,Slovakia
1968,73.45,67.57,70.46,Slovakia
1969,73.06,66.69,69.81,Slovakia
1970,72.92,66.66,69.72,Slovakia
1971,73.26,66.62,69.86,Slovakia
1972,73.84,66.93,70.3,Slovakia
1973,73.41,66.8,70.03,Slovakia
1974,73.7,66.82,70.18,Slovakia
1975,73.93,66.85,70.3,Slovakia
1976,74.09,67.01,70.47,Slovakia
1977,74.28,66.75,70.41,Slovakia
1978,74.13,66.9,70.42,Slovakia
1979,74.56,67.11,70.74,Slovakia
1980,74.27,66.71,70.38,Slovakia
1981,74.7,66.78,70.62,Slovakia
1982,74.76,66.98,70.76,Slovakia
1983,74.53,66.65,70.48,Slovakia
1984,74.89,66.77,70.71,Slovakia
1985,74.75,66.88,70.72,Slovakia
1986,74.92,67.04,70.89,Slovakia
1987,75.1,67.2,71.07,Slovakia
1988,75.43,67.04,71.13,Slovakia
1989,75.29,66.81,70.94,Slovakia
1990,75.38,66.52,70.82,Slovakia
1991,75.26,66.78,70.92,Slovakia
1992,75.86,67.06,71.37,Slovakia
1993,76.14,67.74,71.88,Slovakia
1994,76.47,68.25,72.33,Slovakia
1995,76.29,68.26,72.25,Slovakia
1996,76.79,68.71,72.74,Slovakia
1997,76.67,68.72,72.69,Slovakia
1998,76.74,68.46,72.57,Slovakia
1999,77.1,68.85,72.97,Slovakia
2000,77.3,69,73.14,Slovakia
2001,77.66,69.47,73.57,Slovakia
2002,77.69,69.79,73.76,Slovakia
2003,77.79,69.81,73.82,Slovakia
2004,78.02,70.33,74.22,Slovakia
2005,78.08,70.18,74.16,Slovakia
2006,78.37,70.41,74.42,Slovakia
2007,78.35,70.58,74.49,Slovakia
2008,78.86,70.83,74.86,Slovakia
2009,78.96,71.39,75.22,Slovakia
2010,79.16,71.74,75.5,Slovakia
2011,79.66,72.26,76.01,Slovakia
2012,79.76,72.49,76.18,Slovakia
2013,79.99,72.91,76.52,Slovakia
2014,80.32,73.25,76.86,Slovakia
2015,80.11,73.09,76.65,Slovakia
2016,80.55,73.75,77.22,Slovakia
2017,80.58,73.76,77.22,Slovakia
2018,80.6,73.83,77.26,Slovakia
2019,81,74.26,77.68,Slovakia
1908,42.35,40.5,41.41,Spain
1909,42.09,39.94,41,Spain
1910,42.02,39.71,40.84,Spain
1911,40.77,38.86,39.79,Spain
1912,44.39,42.52,43.43,Spain
1913,43.59,41.67,42.61,Spain
1914,43.7,41.89,42.78,Spain
1915,44.01,42.22,43.09,Spain
1916,44.89,42.98,43.91,Spain
1917,43.58,41.66,42.6,Spain
1918,30.8,29.94,30.36,Spain
1919,42.15,39.78,40.95,Spain
