Year,Female,Male,Total,Countries
1933,30371,32409,62780,Denmark
1934,31516,33600,65116,Denmark
1935,31591,33632,65223,Denmark
1936,32371,34047,66418,Denmark
1937,33044,34396,67440,Denmark
1938,33232,35230,68462,Denmark
1939,32801,35113,67914,Denmark
1940,34194,35927,70121,Denmark
1941,34607,36699,71306,Denmark
1942,38569,40976,79545,Denmark
1943,41048,43271,84319,Denmark
1944,43822,46819,90641,Denmark
1945,45838,49224,95062,Denmark
1946,46447,49664,96111,Denmark
1947,44386,47328,91714,Denmark
1948,41081,43857,84938,Denmark
1949,38802,41117,79919,Denmark
1950,38824,40734,79558,Denmark
1951,36951,39608,76559,Denmark
1952,37311,39632,76943,Denmark
1953,37762,40499,78261,Denmark
1954,37056,39309,76365,Denmark
1955,37120,39725,76845,Denmark
1956,37187,39538,76725,Denmark
1957,36425,38839,75264,Denmark
1958,36225,38456,74681,Denmark
1959,35942,37986,73928,Denmark
1960,37118,38959,76077,Denmark
1961,37264,39175,76439,Denmark
1962,37959,39849,77808,Denmark
1963,40127,42286,82413,Denmark
1964,40350,43006,83356,Denmark
1965,41645,44151,85796,Denmark
1966,42920,45412,88332,Denmark
1967,39619,41791,81410,Denmark
1968,36052,38491,74543,Denmark
1969,34431,36867,71298,Denmark
1970,34420,36382,70802,Denmark
1971,36404,38955,75359,Denmark
1972,36813,38692,75505,Denmark
1973,34996,36899,71895,Denmark
1974,34771,36556,71327,Denmark
1975,35260,36811,72071,Denmark
1976,31533,33734,65267,Denmark
1977,30055,31823,61878,Denmark
1978,30161,31875,62036,Denmark
1979,28909,30555,59464,Denmark
1980,27941,29352,57293,Denmark
1981,25972,27117,53089,Denmark
1982,25595,27063,52658,Denmark
1983,24821,26001,50822,Denmark
1984,25228,26572,51800,Denmark
1985,26284,27465,53749,Denmark
1986,26878,28434,55312,Denmark
1987,27142,29079,56221,Denmark
1988,28520,30324,58844,Denmark
1989,29876,31475,61351,Denmark
1990,30813,32620,63433,Denmark
1991,31353,33005,64358,Denmark
1992,32914,34812,67726,Denmark
1993,32760,34609,67369,Denmark
1994,34027,35639,69666,Denmark
1995,33885,35886,69771,Denmark
1996,32819,34819,67638,Denmark
1997,32899,34749,67648,Denmark
1998,32116,34058,66174,Denmark
1999,32341,33879,66220,Denmark
2000,32652,34432,67084,Denmark
2001,31961,33497,65458,Denmark
2002,31109,32966,64075,Denmark
2003,31441,33158,64599,Denmark
2004,31539,33070,64609,Denmark
2005,31459,32823,64282,Denmark
2006,31580,33404,64984,Denmark
2007,31267,32815,64082,Denmark
2008,31507,33531,65038,Denmark
2009,30557,32261,62818,Denmark
2010,30946,32465,63411,Denmark
2011,28984,30014,58998,Denmark
2012,28131,29785,57916,Denmark
2013,27283,28590,55873,Denmark
2014,27616,29254,56870,Denmark
2015,28357,29848,58205,Denmark
2016,29833,31781,61614,Denmark
2017,29930,31467,61397,Denmark
2018,29865,31611,61476,Denmark
2019,29648,31519,61167,Denmark
2020,29762,31175,60937,Denmark
2021,30901,32572,63473,Denmark
2022,28302,30128,58430,Denmark
1959,9643,10303,19946,Estonia
1960,9768,10415,20183,Estonia
1961,9946,10308,20254,Estonia
1962,9549,10412,19961,Estonia
1963,9308,9972,19280,Estonia
1964,9415,10223,19638,Estonia
1965,9248,9666,18914,Estonia
1966,9027,9614,18641,Estonia
1967,9208,9485,18693,Estonia
1968,9595,10197,19792,Estonia
1969,10132,10734,20866,Estonia
1970,10577,10975,21552,Estonia
1971,10686,11432,22118,Estonia
1972,10578,11179,21757,Estonia
1973,10294,10945,21239,Estonia
1974,10515,10946,21461,Estonia
1975,10237,11123,21360,Estonia
1976,10680,11121,21801,Estonia
1977,10642,11335,21977,Estonia
1978,10678,11164,21842,Estonia
1979,10574,11305,21879,Estonia
1980,10795,11409,22204,Estonia
1981,11106,11831,22937,Estonia
1982,11266,11862,23128,Estonia
1983,11749,12406,24155,Estonia
1984,11893,12341,24234,Estonia
1985,11568,12062,23630,Estonia
1986,11721,12385,24106,Estonia
1987,12092,12994,25086,Estonia
1988,12287,12773,25060,Estonia
1989,11755,12563,24318,Estonia
1990,10822,11482,22304,Estonia
1991,9450,9963,19413,Estonia
1992,8778,9260,18038,Estonia
1993,7318,7935,15253,Estonia
1994,6946,7230,14176,Estonia
1995,6567,6942,13509,Estonia
1996,6429,6813,13242,Estonia
1997,6049,6528,12577,Estonia
1998,5884,6283,12167,Estonia
1999,6058,6367,12425,Estonia
2000,6243,6824,13067,Estonia
2001,6101,6531,12632,Estonia
2002,6382,6619,13001,Estonia
2003,6409,6627,13036,Estonia
2004,6816,7176,13992,Estonia
2005,6864,7486,14350,Estonia
2006,7121,7756,14877,Estonia
2007,7675,8100,15775,Estonia
2008,7769,8259,16028,Estonia
2009,7741,8022,15763,Estonia
2010,7659,8166,15825,Estonia
2011,7124,7555,14679,Estonia
2012,6864,7192,14056,Estonia
2013,6630,6901,13531,Estonia
2014,6630,6921,13551,Estonia
2015,6735,7172,13907,Estonia
2016,6688,7365,14053,Estonia
2017,6593,7191,13784,Estonia
2018,7022,7345,14367,Estonia
2019,6887,7212,14099,Estonia
1859,29976,31478,61454,Finland
1860,30820,32363,63183,Finland
1861,32470,34064,66534,Finland
1862,32493,33835,66328,Finland
1863,31619,33364,64983,Finland
1864,34878,36429,71307,Finland
1865,30645,32135,62780,Finland
1866,28745,30108,58853,Finland
1867,29013,30151,59164,Finland
1868,21334,22423,43757,Finland
1869,28379,30016,58395,Finland
1870,31185,32563,63748,Finland
1871,32661,33906,66567,Finland
1872,32269,33920,66189,Finland
1873,33325,35097,68422,Finland
1874,34528,36370,70898,Finland
1875,33821,35700,69521,Finland
1876,34873,35886,70759,Finland
1877,36637,38194,74831,Finland
1878,33880,36395,70275,Finland
1879,37189,38961,76150,Finland
1880,36423,38361,74784,Finland
1881,35209,37227,72436,Finland
1882,37000,39053,76053,Finland
1883,37401,38977,76378,Finland
1884,38118,40029,78147,Finland
1885,36582,38547,75129,Finland
1886,38361,40215,78576,Finland
1887,40033,41691,81724,Finland
1888,39280,40892,80172,Finland
1889,37758,40123,77881,Finland
1890,37837,40023,77860,Finland
1891,40069,42059,82128,Finland
1892,37182,39251,76433,Finland
1893,35453,37577,73030,Finland
1894,37193,39013,76206,Finland
1895,39808,41975,81783,Finland
1896,39868,41788,81656,Finland
1897,40007,42323,82330,Finland
1898,43344,45762,89106,Finland
1899,43032,45326,88358,Finland
1900,41904,44435,86339,Finland
1901,43147,45490,88637,Finland
1902,42280,44802,87082,Finland
1903,41357,43763,85120,Finland
1904,43909,46344,90253,Finland
1905,42992,44849,87841,Finland
1906,44429,46972,91401,Finland
1907,45041,47416,92457,Finland
1908,44651,47495,92146,Finland
1909,46215,48790,95005,Finland
1910,45239,47745,92984,Finland
1911,43978,47260,91238,Finland
1912,44752,47523,92275,Finland
1913,42185,45065,87250,Finland
1914,42549,45028,87577,Finland
1915,40468,42838,83306,Finland
1916,38716,40937,79653,Finland
1917,39320,41726,81046,Finland
1918,38587,40907,79494,Finland
1919,30829,33067,63896,Finland
1920,41070,43644,84714,Finland
1921,39953,42212,82165,Finland
1922,38907,41233,80140,Finland
1923,39639,42322,81961,Finland
1924,37757,40300,78057,Finland
1925,37906,40354,78260,Finland
1926,37394,39481,76875,Finland
1927,36638,38973,75611,Finland
1928,37608,39915,77523,Finland
1929,37043,38968,76011,Finland
1930,36648,38588,75236,Finland
1931,34723,37143,71866,Finland
1932,33878,35474,69352,Finland
1933,31628,33419,65047,Finland
1934,33137,34576,67713,Finland
1935,33764,36178,69942,Finland
1936,33545,35350,68895,Finland
1937,35077,37242,72319,Finland
1938,37106,39589,76695,Finland
1939,38300,39864,78164,Finland
1940,32031,33818,65849,Finland
1941,43359,46206,89565,Finland
1942,29959,31713,61672,Finland
1943,36814,39298,76112,Finland
1944,38468,40978,79446,Finland
1945,46306,49452,95758,Finland
1946,51609,54466,106075,Finland
1947,52500,55668,108168,Finland
1948,52471,55288,107759,Finland
1949,50239,53276,103515,Finland
1950,47723,50342,98065,Finland
1951,45354,47709,93063,Finland
1952,45924,48390,94314,Finland
1953,44250,46616,90866,Finland
1954,44096,45749,89845,Finland
1955,43672,46068,89740,Finland
1956,43350,45546,88896,Finland
1957,42340,44645,86985,Finland
1958,39701,41447,81148,Finland
1959,40600,42653,83253,Finland
1960,40101,42028,82129,Finland
1961,40128,41868,81996,Finland
1962,39741,41713,81454,Finland
1963,40121,42130,82251,Finland
1964,39219,41209,80428,Finland
1965,38031,39854,77885,Finland
1966,38146,39551,77697,Finland
1967,37650,39639,77289,Finland
1968,36053,37601,73654,Finland
1969,32833,34617,67450,Finland
1970,31545,33014,64559,Finland
1971,29978,31089,61067,Finland
1972,28489,30375,58864,Finland
1973,27487,29300,56787,Finland
1974,30619,31853,62472,Finland
1975,31902,33817,65719,Finland
1976,32540,34306,66846,Finland
1977,32035,33624,65659,Finland
1978,31145,32838,63983,Finland
1979,31205,32223,63428,Finland
1980,30715,32349,63064,Finland
1981,31016,32453,63469,Finland
1982,32101,34005,66106,Finland
1983,32698,34194,66892,Finland
1984,31846,33230,65076,Finland
1985,30784,32012,62796,Finland
1986,29597,31035,60632,Finland
1987,29196,30631,59827,Finland
1988,30943,32373,63316,Finland
1989,30946,32402,63348,Finland
1990,32010,33539,65549,Finland
1991,32134,33261,65395,Finland
1992,32584,34147,66731,Finland
1993,31825,33001,64826,Finland
1994,32051,33180,65231,Finland
1995,30857,32210,63067,Finland
1996,29581,31142,60723,Finland
1997,29185,30144,59329,Finland
1998,27975,29133,57108,Finland
1999,28174,29400,57574,Finland
2000,27492,29250,56742,Finland
2001,27488,28701,56189,Finland
2002,26992,28563,55555,Finland
2003,27791,28839,56630,Finland
2004,28074,29684,57758,Finland
2005,28342,29400,57742,Finland
2006,28835,30005,58840,Finland
2007,28593,30136,58729,Finland
2008,29115,30415,59530,Finland
2009,29635,30795,60430,Finland
2010,29671,31309,60980,Finland
2011,29415,30546,59961,Finland
2012,29185,30308,59493,Finland
2013,28276,29858,58134,Finland
2014,27960,29272,57232,Finland
2015,27003,28469,55472,Finland
2016,26002,26812,52814,Finland
2017,24647,25674,50321,Finland
2018,22947,24630,47577,Finland
2019,22427,23186,45613,Finland
2020,22685,23778,46463,Finland
2021,24307,25287,49594,Finland
2022,21991,22960,44951,Finland
1806,444393,471786,916179,France
1807,449401,475716,925117,France
1808,443217,469623,912840,France
1809,451457,481934,933391,France
1810,450887,480912,931799,France
1811,447114,479790,926904,France
1812,426933,457012,883945,France
1813,432419,463161,895580,France
1814,480878,513204,994082,France
1815,462683,490458,953141,France
1816,468549,500385,968934,France
1817,456330,488145,944475,France
1818,442953,471624,914577,France
1819,478645,508922,987567,France
1820,465161,494820,959981,France
1821,466886,498478,965364,France
1822,471765,500867,972632,France
1823,467305,496022,963327,France
1824,476490,507668,984158,France
1825,470334,503168,973502,France
1826,480855,511411,992266,France
1827,474769,505366,980135,France
1828,475153,501796,976949,France
1829,468975,496495,965470,France
1830,471086,496914,968000,France
1831,477623,509220,986843,France
1832,454185,483249,937434,France
1833,469119,501059,970178,France
1834,477772,508718,986490,France
1835,481465,512368,993833,France
1836,475330,504416,979746,France
1837,458020,485721,943741,France
1838,467279,495820,963099,France
1839,465017,493172,958189,France
1840,462963,489424,952387,France
1841,474037,502716,976753,France
1842,476540,506450,982990,France
1843,475469,502927,978396,France
1844,466781,492703,959484,France
1845,477649,504878,982527,France
1846,469857,496009,965866,France
1847,440951,460910,901861,France
1848,457683,482473,940156,France
1849,479791,506057,985848,France
1850,464438,489802,954240,France
1851,474665,496606,971271,France
1852,470103,494856,964959,France
1853,454651,482316,936967,France
1854,449627,473834,923461,France
1855,438896,463440,902336,France
1856,463745,488371,952116,France
1857,458373,482336,940709,France
1858,472851,496492,969343,France
1859,495780,522116,1017896,France
1860,467229,489646,956875,France
1861,490343,514735,1005078,France
1862,484856,510311,995167,France
1863,494213,518581,1012794,France
1864,489720,516160,1005880,France
1865,490408,515345,1005753,France
1866,490122,516136,1006258,France
1867,493386,514369,1007755,France
1868,480638,503502,984140,France
1869,462643,485883,948526,France
1870,460740,482775,943515,France
1871,403242,422879,826121,France
1872,471519,494481,966000,France
1873,461613,484751,946364,France
1874,465030,489622,954652,France
1875,463694,487281,950975,France
1876,472364,494318,966682,France
1877,461944,482632,944576,France
1878,457790,479527,937317,France
1879,457918,478611,936529,France
1880,450996,469181,920177,France
1881,456496,480561,937057,France
1882,457571,477995,935566,France
1883,457626,480318,937944,France
1884,458419,479339,937758,France
1885,450178,474380,924558,France
1886,447315,465523,912838,France
1887,440149,459184,899333,France
1888,431253,451386,882639,France
1889,430211,450368,880579,France
1890,409907,428152,838059,France
1891,423150,443227,866377,France
1892,418047,437800,855847,France
1893,427715,446957,874672,France
1894,418725,436663,855388,France
1895,408284,425889,834173,France
1896,423965,441621,865586,France
1897,420824,438283,859107,France
1898,412568,431365,843933,France
1899,417618,435485,853103,France
1900,407631,425139,832770,France
1901,422860,440012,862872,France
1902,416494,434410,850904,France
1903,407737,424343,832080,France
1904,403706,419836,823542,France
1905,397596,414908,812504,France
1906,397710,414266,811976,France
1907,379783,397950,777733,France
1908,388927,408409,797336,France
1909,378562,395960,774522,France
1910,380859,398478,779337,France
1911,365811,381304,747115,France
1912,368496,386651,755147,France
1913,366443,384341,750784,France
1914,292894,304592,597486,France
1915,190141,199213,389354,France
1916,153720,161439,315159,France
1917,168276,176461,344737,France
1918,194565,207534,402099,France
1919,197134,209185,406319,France
1920,406101,432036,838137,France
1921,398074,418451,816525,France
1922,372584,391789,764373,France
1923,372707,393181,765888,France
1924,369998,387875,757873,France
1925,377426,397029,774455,France
1926,377079,394611,771690,France
1927,365864,382238,748102,France
1928,367373,386197,753570,France
1929,358708,375432,734140,France
1930,369376,384644,754020,France
1931,360700,376911,737611,France
1932,354977,371322,726299,France
1933,334427,347967,682394,France
1934,333554,347964,681518,France
1935,315524,328346,643870,France
1936,311360,322984,634344,France
1937,304524,316929,621453,France
1938,301362,314220,615582,France
1939,287746,298980,586726,France
1940,263864,274892,538756,France
1941,242979,252585,495564,France
1942,266364,281487,547851,France
1943,284103,301991,586094,France
1944,293035,310767,603802,France
1945,304142,321638,625780,France
1946,410079,433825,843904,France
1947,422962,447510,870472,France
1948,422938,447898,870836,France
1949,425151,447510,872661,France
1950,420515,441795,862310,France
1951,402925,423797,826722,France
1952,400658,421546,822204,France
1953,392097,412599,804696,France
1954,394676,416078,810754,France
1955,393758,412159,805917,France
1956,393370,413546,806916,France
1957,398833,417634,816467,France
1958,396994,415221,812215,France
1959,404844,424405,829249,France
1960,400044,419775,819819,France
1961,409756,428877,838633,France
1962,406434,425919,832353,France
1963,425032,443844,868876,France
1964,428293,449511,877804,France
1965,422298,443390,865688,France
1966,421399,442128,863527,France
1967,409927,430641,840568,France
1968,408173,427623,835796,France
1969,410899,431346,842245,France
1970,413782,436599,850381,France
1971,429306,451978,881284,France
1972,426839,450667,877506,France
1973,416996,440190,857186,France
1974,389779,411439,801218,France
1975,363261,381804,745065,France
1976,350956,369439,720395,France
1977,362407,382337,744744,France
1978,358781,378281,737062,France
1979,368750,388604,757354,France
1980,389829,410547,800376,France
1981,392003,413480,805483,France
1982,388018,409205,797223,France
1983,364866,383659,748525,France
1984,370629,389310,759939,France
1985,374319,394112,768431,France
1986,379269,399199,778468,France
1987,374597,393231,767828,France
1988,375829,395439,771268,France
1989,373824,391649,765473,France
1990,371095,391312,762407,France
1991,369817,389239,759056,France
1992,361914,381744,743658,France
1993,347021,364589,711610,France
1994,346716,364277,710993,France
1995,356200,373409,729609,France
1996,357335,377003,734338,France
1997,353611,373157,726768,France
1998,360005,378075,738080,France
1999,362659,382132,744791,France
2000,377430,397352,774782,France
2001,376648,394297,770945,France
2002,371649,389981,761630,France
2003,372115,389349,761464,France
2004,374339,393477,767816,France
2005,378009,396346,774355,France
2006,389050,407846,796896,France
2007,383688,402297,785985,France
2008,389260,406784,796044,France
2009,387518,405902,793420,France
2010,392084,410140,802224,France
2011,387790,405206,792996,France
2012,385516,404774,790290,France
2013,381472,400149,781621,France
2014,381883,399284,781167,France
2015,371240,389181,760421,France
2016,363387,381310,744697,France
2017,356526,373716,730242,France
2018,350616,369121,719737,France
2019,349105,364924,714029,France
2020,340275,356389,696664,France
1990,440296,465379,905675,Germany
1991,403921,426098,830019,Germany
1992,394307,414807,809114,Germany
1993,388376,410071,798447,Germany
1994,373734,395869,769603,Germany
1995,372492,392729,765221,Germany
1996,386800,409213,796013,Germany
1997,395167,417006,812173,Germany
1998,382169,402865,785034,Germany
1999,374448,396296,770744,Germany
2000,373676,393323,766999,Germany
2001,356889,377586,734475,Germany
2002,349973,369277,719250,Germany
2003,344012,362709,706721,Germany
2004,343605,362017,705622,Germany
2005,334038,351757,685795,Germany
2006,326908,345816,672724,Germany
2007,333023,351839,684862,Germany
2008,332652,349862,682514,Germany
2009,323887,341249,665136,Germany
2010,330710,347237,677947,Germany
2011,322786,339899,662685,Germany
2012,327915,345629,673544,Germany
2013,332249,349820,682069,Germany
2014,348092,366835,714927,Germany
2015,359097,378478,737575,Germany
2016,386546,405585,792131,Germany
2017,382374,402510,784884,Germany
2018,383471,404052,787523,Germany
2019,378798,399292,778090,Germany
2020,375759,397385,773144,Germany
1981,67909,73044,140953,Greece
1982,66202,71073,137275,Greece
1983,63762,68846,132608,Greece
1984,60598,65126,125724,Greece
1985,56059,60422,116481,Greece
1986,54388,58422,112810,Greece
1987,51704,54688,106392,Greece
1988,51884,55621,107505,Greece
1989,49176,52481,101657,Greece
1990,49807,52422,102229,Greece
1991,49930,52690,102620,Greece
1992,50014,54067,104081,Greece
1993,49370,52429,101799,Greece
1994,50096,53667,103763,Greece
1995,48795,52700,101495,Greece
1996,49208,51510,100718,Greece
1997,49432,52606,102038,Greece
1998,48902,51992,100894,Greece
1999,48759,51884,100643,Greece
2000,50125,53149,103274,Greece
2001,49051,53231,102282,Greece
2002,50427,53142,103569,Greece
2003,50706,53714,104420,Greece
2004,51050,54605,105655,Greece
2005,52006,55539,107545,Greece
2006,54303,57739,112042,Greece
2007,53967,57959,111926,Greece
2008,57336,60966,118302,Greece
2009,57101,60832,117933,Greece
2010,55639,59127,114766,Greece
2011,51566,54862,106428,Greece
2012,48717,51654,100371,Greece
2013,45704,48430,94134,Greece
2014,44765,47384,92149,Greece
2015,44553,47294,91847,Greece
2016,45016,47882,92898,Greece
2017,42867,45686,88553,Greece
2018,41915,44525,86440,Greece
2019,40818,42945,83763,Greece
1948,22175,25300,47475,Hong Kong
1949,26236,28538,54774,Hong Kong
1950,28855,31745,60600,Hong Kong
1951,32555,35945,68500,Hong Kong
1952,34406,37570,71976,Hong Kong
1953,36002,39542,75544,Hong Kong
1954,40024,43293,83317,Hong Kong
1955,43186,47325,90511,Hong Kong
1956,46748,49998,96746,Hong Kong
1957,46567,51267,97834,Hong Kong
1958,51024,55600,106624,Hong Kong
1959,50194,54385,104579,Hong Kong
1960,53619,57048,110667,Hong Kong
1961,53523,57361,110884,Hong Kong
1962,54342,58161,112503,Hong Kong
1963,55486,59064,114550,Hong Kong
1964,52237,55388,107625,Hong Kong
1965,49081,52029,101110,Hong Kong
1966,44343,47489,91832,Hong Kong
1967,42547,45668,88215,Hong Kong
1968,40077,42608,82685,Hong Kong
1969,40002,42480,82482,Hong Kong
1970,38398,40734,79132,Hong Kong
1971,38693,41096,79789,Hong Kong
1972,38868,41476,80344,Hong Kong
1973,39835,42417,82252,Hong Kong
1974,40614,42967,83581,Hong Kong
1975,38255,41535,79790,Hong Kong
1976,37731,40780,78511,Hong Kong
1977,38689,41333,80022,Hong Kong
1978,39184,41773,80957,Hong Kong
1979,39623,42352,81975,Hong Kong
1980,41189,44101,85290,Hong Kong
1981,42141,44610,86751,Hong Kong
1982,41769,44351,86120,Hong Kong
1983,40457,42836,83293,Hong Kong
1984,37354,39943,77297,Hong Kong
1985,36830,39296,76126,Hong Kong
1986,34703,36917,71620,Hong Kong
1987,33979,35979,69958,Hong Kong
1988,36366,39046,75412,Hong Kong
1989,33806,35815,69621,Hong Kong
1990,32616,35115,67731,Hong Kong
1991,33084,35197,68281,Hong Kong
1992,34249,36700,70949,Hong Kong
1993,33946,36505,70451,Hong Kong
1994,34368,37278,71646,Hong Kong
1995,33071,35566,68637,Hong Kong
1996,30627,32664,63291,Hong Kong
1997,28370,30880,59250,Hong Kong
1998,25259,27718,52977,Hong Kong
1999,24569,26712,51281,Hong Kong
2000,25854,28280,54134,Hong Kong
2001,23059,25160,48219,Hong Kong
2002,23254,24955,48209,Hong Kong
2003,22559,24406,46965,Hong Kong
2004,23969,25827,49796,Hong Kong
2005,27218,29880,57098,Hong Kong
2006,31031,34595,65626,Hong Kong
2007,33427,37448,70875,Hong Kong
2008,36894,41928,78822,Hong Kong
2009,38129,43966,82095,Hong Kong
2010,41218,47366,88584,Hong Kong
2011,44165,51286,95451,Hong Kong
2012,42781,48777,91558,Hong Kong
2013,27278,29806,57084,Hong Kong
2014,30043,32262,62305,Hong Kong
2015,28660,31218,59878,Hong Kong
2016,29132,31724,60856,Hong Kong
2017,27312,29236,56548,Hong Kong
2018,25820,27896,53716,Hong Kong
2019,25161,27695,52856,Hong Kong
2020,20568,22463,43031,Hong Kong
1950,94168,101399,195567,Hungary
1951,92572,98073,190645,Hungary
1952,90016,95804,185820,Hungary
1953,100002,106924,206926,Hungary
1954,107439,115908,223347,Hungary
1955,101588,108842,210430,Hungary
1956,93158,99652,192810,Hungary
1957,80402,86800,167202,Hungary
1958,76289,82139,158428,Hungary
1959,73241,77953,151194,Hungary
1960,70673,75788,146461,Hungary
1961,67750,72615,140365,Hungary
1962,62901,67152,130053,Hungary
1963,64059,68276,132335,Hungary
1964,63761,68380,132141,Hungary
1965,64406,68603,133009,Hungary
1966,66824,71665,138489,Hungary
1967,71976,76910,148886,Hungary
1968,74813,79606,154419,Hungary
1969,74417,79901,154318,Hungary
1970,73453,78366,151819,Hungary
1971,73029,77611,150640,Hungary
1972,73956,79309,153265,Hungary
1973,75567,80657,156224,Hungary
1974,90401,95887,186288,Hungary
1975,94333,99907,194240,Hungary
1976,90055,95350,185405,Hungary
1977,86511,91063,177574,Hungary
1978,81705,86455,168160,Hungary
1979,78192,82172,160364,Hungary
1980,72558,76115,148673,Hungary
1981,69970,72920,142890,Hungary
1982,64781,68778,133559,Hungary
1983,62176,65082,127258,Hungary
1984,61292,64067,125359,Hungary
1985,63374,66826,130200,Hungary
1986,62667,65537,128204,Hungary
1987,61261,64579,125840,Hungary
1988,60506,63790,124296,Hungary
1989,60008,63296,123304,Hungary
1990,61463,64216,125679,Hungary
1991,62100,65107,127207,Hungary
1992,59210,62514,121724,Hungary
1993,56996,60037,117033,Hungary
1994,56189,59409,115598,Hungary
1995,54498,57556,112054,Hungary
1996,51084,54188,105272,Hungary
1997,48443,51907,100350,Hungary
1998,47345,49956,97301,Hungary
1999,45749,48896,94645,Hungary
2000,47355,50242,97597,Hungary
2001,47013,50034,97047,Hungary
2002,47109,49695,96804,Hungary
2003,45784,48863,94647,Hungary
2004,46359,48778,95137,Hungary
2005,47169,50327,97496,Hungary
2006,48755,51116,99871,Hungary
2007,47580,50033,97613,Hungary
2008,48326,50823,99149,Hungary
2009,46877,49565,96442,Hungary
2010,44056,46279,90335,Hungary
2011,42659,45390,88049,Hungary
2012,43595,46674,90269,Hungary
2013,43118,45571,88689,Hungary
2014,44637,46873,91510,Hungary
2015,44560,47130,91690,Hungary
2016,45266,47797,93063,Hungary
2017,44507,47070,91577,Hungary
2018,43683,46124,89807,Hungary
2019,43169,46024,89193,Hungary
2020,44835,47503,92338,Hungary
1838,927,924,1851,Iceland
1839,918,920,1838,Iceland
1840,935,1059,1994,Iceland
1841,1063,1055,2118,Iceland
1842,1025,1087,2112,Iceland
1843,963,1033,1996,Iceland
1844,950,963,1913,Iceland
1845,987,1060,2047,Iceland
1846,987,1086,2073,Iceland
1847,921,1002,1923,Iceland
1848,1053,1084,2137,Iceland
1849,1055,1089,2144,Iceland
1850,1110,1174,2284,Iceland
1851,1115,1195,2310,Iceland
1852,1180,1200,2380,Iceland
1853,1254,1224,2478,Iceland
1854,1197,1285,2482,Iceland
1855,1185,1260,2445,Iceland
1856,1192,1225,2417,Iceland
1857,1317,1347,2664,Iceland
1858,1422,1435,2857,Iceland
1859,1299,1301,2600,Iceland
1860,1170,1220,2390,Iceland
1861,1207,1238,2445,Iceland
1862,1278,1325,2603,Iceland
1863,1238,1313,2551,Iceland
1864,1323,1344,2667,Iceland
1865,1231,1428,2659,Iceland
1866,1263,1315,2578,Iceland
1867,1291,1377,2668,Iceland
1868,1186,1187,2373,Iceland
1869,1018,1103,2121,Iceland
1870,1042,1149,2191,Iceland
1871,1076,1119,2195,Iceland
1872,1086,1110,2196,Iceland
1873,1168,1201,2369,Iceland
1874,1117,1142,2259,Iceland
1875,1138,1130,2268,Iceland
1876,1173,1182,2355,Iceland
1877,1095,1088,2183,Iceland
1878,1159,1207,2366,Iceland
1879,1122,1127,2249,Iceland
1880,1118,1150,2268,Iceland
1881,1135,1189,2324,Iceland
1882,1116,1183,2299,Iceland
1883,992,1120,2112,Iceland
1884,1109,1206,2315,Iceland
1885,1105,1147,2252,Iceland
1886,1042,1095,2137,Iceland
1887,972,1036,2008,Iceland
1888,946,971,1917,Iceland
1889,1083,1097,2180,Iceland
1890,1069,1120,2189,Iceland
1891,1153,1205,2358,Iceland
1892,1104,1158,2262,Iceland
1893,1102,1211,2313,Iceland
1894,1067,1101,2168,Iceland
1895,1274,1203,2477,Iceland
1896,1145,1207,2352,Iceland
1897,1139,1241,2380,Iceland
1898,1125,1165,2290,Iceland
1899,1109,1134,2243,Iceland
1900,1124,1113,2237,Iceland
1901,1056,1123,2179,Iceland
1902,1092,1128,2220,Iceland
1903,1063,1181,2244,Iceland
1904,1078,1215,2293,Iceland
1905,1101,1170,2271,Iceland
1906,1095,1251,2346,Iceland
1907,1124,1180,2304,Iceland
1908,1094,1176,2270,Iceland
1909,1084,1199,2283,Iceland
1910,1010,1161,2171,Iceland
1911,1109,1096,2205,Iceland
1912,1077,1157,2234,Iceland
1913,1082,1134,2216,Iceland
1914,1132,1206,2338,Iceland
1915,1202,1244,2446,Iceland
1916,1112,1265,2377,Iceland
1917,1158,1269,2427,Iceland
1918,1216,1225,2441,Iceland
1919,1127,1215,2342,Iceland
1920,1251,1376,2627,Iceland
1921,1236,1365,2601,Iceland
1922,1276,1270,2546,Iceland
1923,1269,1343,2612,Iceland
1924,1216,1309,2525,Iceland
1925,1222,1332,2554,Iceland
1926,1317,1359,2676,Iceland
1927,1276,1366,2642,Iceland
1928,1213,1329,2542,Iceland
1929,1288,1356,2644,Iceland
1930,1395,1413,2808,Iceland
1931,1315,1489,2804,Iceland
1932,1290,1406,2696,Iceland
1933,1232,1299,2531,Iceland
1934,1262,1335,2597,Iceland
1935,1258,1293,2551,Iceland
1936,1274,1283,2557,Iceland
1937,1141,1256,2397,Iceland
1938,1143,1231,2374,Iceland
1939,1137,1226,2363,Iceland
1940,1242,1238,2480,Iceland
1941,1297,1337,2634,Iceland
1942,1482,1523,3005,Iceland
1943,1586,1587,3173,Iceland
1944,1523,1690,3213,Iceland
1945,1657,1777,3434,Iceland
1946,1609,1825,3434,Iceland
1947,1777,1929,3706,Iceland
1948,1919,1902,3821,Iceland
1949,1867,2017,3884,Iceland
1950,1941,2152,4093,Iceland
1951,2009,1990,3999,Iceland
1952,1923,2152,4075,Iceland
1953,2051,2203,4254,Iceland
1954,2050,2231,4281,Iceland
1955,2213,2292,4505,Iceland
1956,2224,2379,4603,Iceland
1957,2256,2469,4725,Iceland
1958,2290,2351,4641,Iceland
1959,2336,2501,4837,Iceland
